,APP_USER_SN,count_province,total_booking
307,440588.0,3,7
308,443182.0,3,9
309,443856.0,3,16
310,446020.0,3,9
311,446220.0,3,7
312,446729.0,3,4
313,446969.0,3,3
314,448706.0,3,19
315,449020.0,3,4
316,449723.0,3,28
317,450500.0,3,4
318,451130.0,3,18
319,451255.0,3,4
320,451967.0,3,11
321,452154.0,3,28
322,455484.0,3,28
323,458179.0,3,9
324,462329.0,3,7
325,464526.0,3,7
326,464834.0,3,7
327,468043.0,3,20
328,470118.0,3,12
329,473028.0,3,5
330,473965.0,3,3
331,476821.0,3,13
332,477424.0,3,20
333,479951.0,3,13
334,480396.0,3,4
335,480478.0,3,8
336,481556.0,3,5
337,483894.0,3,6
338,485160.0,3,7
339,485322.0,3,7
340,485693.0,3,4
341,485753.0,3,6
342,486431.0,3,4
343,486527.0,3,8
344,487072.0,3,3
345,488260.0,3,3
346,489001.0,3,5
347,490135.0,3,4
348,493506.0,3,4
349,493631.0,3,9
350,497025.0,3,3
351,499004.0,3,10
352,499647.0,3,7
353,501196.0,3,5
354,501910.0,3,4
355,503119.0,3,5
356,503129.0,3,3
357,505736.0,3,3
358,507002.0,3,3
359,507118.0,3,3
360,510798.0,3,8
361,512759.0,3,5
362,514747.0,3,6
363,514847.0,3,80
364,517867.0,3,4
365,524794.0,3,14
366,526565.0,3,14
367,528217.0,3,3
368,529868.0,3,5
369,531625.0,3,14
370,532251.0,3,5
371,533012.0,3,9
372,534831.0,3,5
373,536279.0,3,9
374,540080.0,3,7
375,540262.0,3,5
376,541342.0,3,5
377,543749.0,3,3
378,546319.0,3,6
379,549062.0,3,7
380,549719.0,3,14
381,554325.0,3,3
382,556770.0,3,5
383,557576.0,3,4
384,562646.0,3,5
385,562848.0,3,6
386,566006.0,3,3
387,571831.0,3,6
388,572109.0,3,4
389,573174.0,3,3
390,575855.0,3,3
391,577388.0,3,7
392,580182.0,3,7
393,581748.0,3,3
394,582715.0,3,3
395,585110.0,3,3
396,590301.0,3,3
397,602113.0,3,3
398,618462.0,3,4
399,620012.0,3,5
400,626028.0,3,3
401,15.0,2,12
402,144.0,2,29
403,565.0,2,4
404,579.0,2,6
405,719.0,2,3
406,812.0,2,34
407,881.0,2,20
408,887.0,2,10
409,1180.0,2,3
410,1229.0,2,25
411,1230.0,2,19
412,2792.0,2,3
413,2888.0,2,16
414,3750.0,2,2
415,4017.0,2,11
416,4211.0,2,3
417,4273.0,2,5
418,4278.0,2,16
419,4300.0,2,105
420,4686.0,2,2
421,4693.0,2,3
422,4771.0,2,35
423,5028.0,2,74
424,5198.0,2,9
425,5293.0,2,76
426,5809.0,2,43
427,5894.0,2,2
428,5924.0,2,8
429,6007.0,2,80
430,6288.0,2,53
431,6508.0,2,6
432,6714.0,2,15
433,6742.0,2,110
434,6896.0,2,47
435,6997.0,2,7
436,7041.0,2,33
437,7110.0,2,4
438,7122.0,2,15
439,7138.0,2,2
440,7223.0,2,2
441,7301.0,2,3
442,7344.0,2,4
443,7368.0,2,3
444,7900.0,2,12
445,7918.0,2,16
446,7948.0,2,5
447,7963.0,2,36
448,8329.0,2,7
449,8483.0,2,3
450,8552.0,2,19
451,8666.0,2,4
452,8695.0,2,32
453,8707.0,2,3
454,8711.0,2,3
455,8758.0,2,6
456,8886.0,2,3
457,9646.0,2,4
458,9676.0,2,6
459,9760.0,2,6
460,9876.0,2,11
461,9923.0,2,3
462,10132.0,2,8
463,10265.0,2,3
464,10502.0,2,9
465,10725.0,2,6
466,10999.0,2,3
467,11209.0,2,6
468,11240.0,2,16
469,11508.0,2,11
470,11937.0,2,11
471,12105.0,2,8
472,12161.0,2,12
473,12259.0,2,4
474,12431.0,2,11
475,12707.0,2,5
476,12952.0,2,15
477,13240.0,2,63
478,13429.0,2,4
479,13476.0,2,3
480,13872.0,2,2
481,13977.0,2,40
482,14005.0,2,2
483,14133.0,2,16
484,14282.0,2,3
485,14330.0,2,14
486,14348.0,2,7
487,14411.0,2,4
488,14487.0,2,3
489,14549.0,2,93
490,14556.0,2,5
491,14560.0,2,11
492,14564.0,2,19
493,14890.0,2,39
494,14996.0,2,11
495,15083.0,2,4
496,15224.0,2,9
497,15266.0,2,8
498,15343.0,2,3
499,15462.0,2,5
500,15624.0,2,11
501,15823.0,2,3
502,15930.0,2,4
503,16025.0,2,37
504,16222.0,2,11
505,16239.0,2,48
506,16327.0,2,3
507,16615.0,2,8
508,16774.0,2,5
509,16819.0,2,10
510,16933.0,2,6
511,17019.0,2,2
512,17053.0,2,10
513,17096.0,2,8
514,17514.0,2,12
515,17559.0,2,35
516,17693.0,2,18
517,17823.0,2,29
518,18043.0,2,3
519,18220.0,2,15
520,18237.0,2,8
521,18279.0,2,10
522,18364.0,2,3
523,18678.0,2,13
524,18792.0,2,4
525,18889.0,2,2
526,18919.0,2,2
527,19404.0,2,3
528,19420.0,2,65
529,19480.0,2,15
530,19543.0,2,5
531,19651.0,2,42
532,19666.0,2,106
533,19816.0,2,15
534,20015.0,2,2
535,20045.0,2,44
536,20459.0,2,21
537,20662.0,2,7
538,20974.0,2,30
539,21178.0,2,2
540,21229.0,2,7
541,21250.0,2,5
542,21515.0,2,2
543,21542.0,2,3
544,21648.0,2,6
545,21894.0,2,14
546,21905.0,2,5
547,22143.0,2,11
548,22165.0,2,5
549,22227.0,2,3
550,22371.0,2,2
551,22539.0,2,12
552,22549.0,2,16
553,22584.0,2,4
554,22662.0,2,7
555,22826.0,2,3
556,22857.0,2,17
557,22859.0,2,10
558,22926.0,2,17
559,22946.0,2,5
560,23348.0,2,38
561,23404.0,2,5
562,23499.0,2,54
563,23521.0,2,2
564,23552.0,2,15
565,23640.0,2,17
566,23715.0,2,2
567,23931.0,2,52
568,23939.0,2,16
569,23962.0,2,33
570,23972.0,2,12
571,24009.0,2,2
