A,B,lift
"[1135, 1514]",[1003],15.861526963726668
"[543, 830]",[1018],15.857783365027503
"[911, 1058]",[722],15.835481151391063
"[869, 2218]",[1058],15.822141997593262
"[875, 1537]",[4771],15.810599562293072
"[1130, 1514]",[1537],15.766569445841297
"[1130, 4771]",[1514],15.744727774961614
"[1003, 1514]",[1537],15.7392787670208
"[3324, 3568]",[1764],15.726505143211401
"[2413, 2414]",[1977],15.635754321214065
[3598],[1977],15.629830340642263
"[1018, 1462]",[2812],15.620447656691132
"[817, 2812]",[584],15.617621576299609
"[1537, 3935]",[1514],15.606302556129528
"[830, 1190]",[1018],15.6032911826369
"[1130, 4118]",[3935],15.595528274471427
"[1130, 4771]",[1537],15.56594561317851
"[1018, 1190]",[830],15.564666329945073
"[875, 1764]",[3324],15.552061541267877
"[1003, 1135]",[1764],15.531311492676743
"[2218, 2851]",[1058],15.517870036101085
[4678],[4771],15.514772306331928
[738],[4059],15.502070610752716
"[1058, 3217]",[2218],15.483042863871878
"[1018, 1462, 2452]",[830],15.453642646933117
"[861, 1462]",[584],15.447928423166344
"[543, 2812]",[830],15.433318934755661
[2414],[2884],15.420756952019046
"[2812, 3906]",[1462],15.417812062885812
"[1018, 3906]",[584],15.405000475980094
"[584, 2812]",[1463],15.39235016835017
"[850, 2812]",[1018],15.379283536945579
"[830, 2452, 2812]",[1462],15.337334472447674
"[660, 1018]",[2812],15.333177842565597
"[1018, 4817]",[2812],15.27257239654755
"[584, 1266]",[1462],15.262197500139294
"[584, 2452]",[2812],15.256535903958584
"[648, 909]",[1190],15.251693764381908
"[1537, 3324]",[4771],15.241229756627158
[521],[1443],15.241109101868595
"[543, 1463]",[1462],15.238535178433652
"[806, 2218]",[1058],15.207689881181873
"[1018, 2812]",[830],15.177992937636855
"[1514, 3324]",[1135],15.143708042648413
"[1130, 1135]",[3324],15.14173568391858
[4613],[3647],15.134841536900662
"[1130, 4118]",[11931],15.097958524973775
"[817, 1463]",[1462],15.032366761313668
"[1537, 1764]",[4771],15.031014088667758
"[1463, 2812]",[1462],15.007020018126383
"[543, 584]",[1462],14.98516937744769
"[1514, 1764]",[1135],14.96760346732859
"[830, 850]",[1018],14.950657886516138
"[543, 1018]",[2812],14.9354445021645
"[1462, 3906]",[1463],14.933422818791946
"[875, 1764]",[1135],14.908589443021318
"[1018, 3906]",[830],14.907642569292367
"[1003, 1514]",[1764],14.88480486794093
[864],[911],14.873260212484842
"[1537, 11931]",[1514],14.852476999292286
"[1514, 4771]",[1537],14.842813159547026
"[830, 1018, 2452]",[543],14.826364779530358
"[543, 830, 1018]",[2452],14.8206420937215
"[584, 3451]",[1462],14.797934246841644
"[1018, 3451]",[2812],14.788675788497216
"[485, 2218]",[869],14.78424417244874
"[543, 584]",[2812],14.779707519371385
"[584, 2452]",[1462],14.764996014567744
"[1130, 1135]",[1003],14.76295665945703
"[1462, 3451]",[3906],14.750250765494668
"[1764, 3324]",[1003],14.746263349089634
[1442],[3217],14.735388928962951
"[1130, 3324]",[1135],14.730913945867217
"[485, 2851]",[2218],14.72769155844156
"[1141, 4771]",[1514],14.703583410317501
"[584, 1018]",[1463],14.697910990009081
"[1514, 1764]",[4771],14.694557240248853
"[1537, 1764]",[3324],14.649911468413238
"[1514, 3324]",[1537],14.638339237881276
"[1003, 1135]",[3324],14.56178203094189
"[1514, 1764]",[3324],14.550691171928294
[1052],[726],14.549890504146864
"[850, 4817]",[1462],14.532173507824938
[654],[584],14.470457053322404
[2856],[1266],14.469900687257837
"[1462, 2812]",[1463],14.458796886058034
"[1135, 1537]",[1514],14.454270201320881
[12584],[648],14.432758598091642
"[648, 1190]",[909],14.425115955473098
"[1003, 1514]",[4771],14.419780966650707
"[1537, 1764]",[1003],14.414176533233102
"[830, 3906]",[1018],14.388187720815832
"[817, 2812]",[1018],14.382478122513922
"[828, 3451]",[850],14.371088691378796
"[1977, 2218]",[1058],14.35959105663926
[2050],[482],14.358215928694653
"[817, 850]",[856],14.347010501355014
